OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County,State,PUIsTotal*,PUIAge_0_4*,PUIAge_5_14*,PUIAge_15_24*,PUIAge_25_34*,PUIAge_35_44*,PUIAge_45_54*,PUIAge_55_64*,PUIAge_65_74*,PUIAge_75_84*,PUIAge_85plus*,PUIAge_Unkn*,PUIAgeRange*,PUIAgeMedian*,PUIFemale*,PUIMale*,PUISexUnkn*,PUIFLRes*,PUINotFLRes*,PUIFLResOut*,PUIContNo*,PUIContUnkn*,PUIAgeAvrg*,PUITravelNo*,PUITravelYes*,PUI_TPositive*,PUI_TNegative*,PUI_TInconc*,PUI_TPending*,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,PUI_EverMon*,PUI_MonNow*,Shape__Area,Shape__Length,GlobalID,New Cases,New Negative cases,New Total Tested Today,New Percent Positivity,MedianAge
1,1,21,041,GILCHRIST,Gilchrist,FL,1731,46,118,260,243,232,238,224,162,122,86,0,0 to 118,43,927,796,8,1731,0,0,116,836,2,949,26,848,879,1,3,1727,749,99,0,0,413,431,4,848,14,52,138,146,118,114,101,60,54,51,0,0 to 106,40,654,65,39,90,92,650,106,94,0,51,0,0,20,848,431,413,848,0,0,5179,0,6038,5179,848,20,1044,1027,920490830.042053,148547.348006441,cb6285a2-da2e-4583-aad5-1221776836ae,9,87,96,0.09375,40
2,2,54,107,PUTNAM,Putnam,FL,7025,217,663,923,952,884,965,1038,733,432,210,8,0 to 118,43,4036,2941,48,7010,15,0,1122,3184,133,3824,74,3148,3850,0,27,6983,1783,1358,3,4,1678,1448,15,3141,80,313,496,435,438,426,427,307,157,68,1,0 to 100,40,2004,770,289,78,542,2495,104,459,2,308,2,0,62,3148,1453,1680,3141,7,0,20048,8,23217,20056,3148,62,1951,1888,2142439482.67719,232574.925675008,ce511c5d-2638-44a3-b2f8-b13847543637,52,424,476,0.109243697478992,40
3,3,62,123,TAYLOR,Taylor,FL,3054,69,197,336,558,533,460,426,286,138,46,5,0 to 118,41,1278,1755,21,3044,10,0,87,1672,3,1718,32,1744,1304,0,6,3038,1630,110,4,0,548,1188,4,1740,10,50,184,375,379,300,230,127,66,22,1,0 to 95,41,973,604,82,81,134,1482,124,157,0,72,0,0,23,1744,1189,551,1740,4,0,6475,6,8250,6481,1744,23,1831,1734,2685252568.13834,267348.178950349,541bd5a3-4453-499a-9896-f0edc5353d0b,21,95,116,0.181034482758621,40
4,4,46,091,OKALOOSA,Okaloosa,FL,19813,437,1695,2810,3066,2843,2520,2673,1746,1174,796,53,0 to 119,41,11070,8605,138,19569,243,1,1090,8759,137,7178,499,10472,9236,1,104,19466,9631,725,103,13,5534,4753,69,10356,131,546,1648,1933,1603,1423,1487,894,500,294,13,0 to 103,40,5330,799,1691,2536,910,6986,2460,669,7,451,8,1,183,10472,4815,5588,10355,116,1,47619,126,58292,47745,10472,183,15938,15514,2369222670.29688,330553.160278386,eb5d2450-a892-40fd-9ba4-9821a7438525,145,775,920,0.157608695652174,40
5,5,7,013,CALHOUN,Calhoun,FL,1822,40,168,214,239,267,242,234,205,145,68,0,0 to 99,44,924,883,15,1820,2,0,88,550,4,824,19,977,841,0,4,1816,873,102,2,0,446,528,1,975,13,47,102,156,143,137,125,116,89,49,0,0 to 99,47,640,116,123,96,30,792,153,87,1,43,1,0,23,977,529,447,975,2,0,4980,0,5967,4980,977,23,1469,1409,1487626835.10838,192207.890331272,3b55aa95-5170-4caf-82a3-e99ad7459349,13,85,98,0.13265306122449,45
6,6,50,099,PALM BEACH,Palm Beach,FL,140826,2601,6008,17026,20607,19040,20418,20946,16197,10626,5745,1612,0 to 119,47,75374,64886,566,139171,1653,2,16180,90924,465,52135,1791,71691,68549,148,438,138594,69850,936,892,13,36457,34031,298,70786,1124,3280,11833,13145,11135,10824,9236,5353,3371,2335,55,0 to 106,40,32297,10021,11875,16593,18819,33636,18331,6515,88,4656,59,27,1766,71691,34496,36856,70784,905,2,467969,745,541051,468714,71691,1766,28778,28516,5710098601.29486,464192.459734082,cc4a8da3-38f1-429a-a0cb-00ffdaa43da7,695,8159,8854,0.078495595211204,40
7,7,56,111,ST. LUCIE,St. Lucie,FL,24838,637,1341,2830,3422,3396,3774,3714,2963,1753,978,30,0 to 119,47,14048,10585,205,24656,182,0,2638,12084,188,10823,525,11869,12589,4,376,24277,11643,175,49,2,6460,5332,26,11818,226,550,1577,1937,1850,1889,1646,1184,629,379,2,0 to 104,43,5520,2480,1565,2253,2663,6411,2744,1185,7,930,6,1,377,11869,5356,6484,11818,51,0,75752,130,87808,75882,11869,377,12781,12766,1499679486.67142,252832.323289834,399b37a3-aa4a-40d4-aa83-5a2ba14bd0c4,123,1391,1514,0.0812417437252312,43
8,8,51,101,PASCO,Pasco,FL,34767,710,2427,4624,4466,4715,5293,4985,4096,2448,977,26,0 to 119,45,19112,15428,227,34522,245,0,2721,18465,223,15200,788,17316,17155,4,292,34226,16553,586,174,2,8985,8017,137,17139,251,871,2650,2598,2552,2716,2302,1817,1112,437,9,0 to 105,43,12244,1045,2176,1674,3557,11388,2194,1834,18,1357,12,4,312,17315,8095,9075,17139,176,0,124033,72,141500,124105,17315,312,18759,18214,1975344274.45807,225211.500752162,83116673-3fad-423e-b67e-dfe7515f5e81,320,2668,2988,0.107095046854083,42
9,9,20,039,GADSDEN,Gadsden,FL,6473,188,443,768,1018,1115,1061,895,620,247,115,3,0 to 119,42,3738,2723,12,6447,25,1,744,3246,46,2714,68,3487,2978,2,6,6440,3337,138,11,1,1743,1726,6,3475,91,234,481,567,649,602,455,248,117,42,1,0 to 98,40,1049,1507,646,273,659,2404,412,485,1,264,0,0,58,3487,1728,1753,3474,12,1,17301,16,20854,17317,3487,58,2026,1831,1367889846.39806,205127.330650714,77657ea6-12d6-4645-9915-e7357c9f40d6,22,288,310,0.0709677419354839,40
10,10,37,073,LEON,Leon,FL,31038,692,1242,9550,4775,3806,3556,3475,2411,980,506,45,0 to 119,33,16811,14115,112,30342,695,1,3887,17878,201,11666,449,16612,14383,6,37,30302,15993,132,477,10,8895,7194,36,16125,268,635,7216,2603,1847,1502,1311,700,326,195,9,0 to 106,25,6765,4725,2049,2586,1497,10487,4141,878,31,354,17,15,154,16612,7398,9171,16124,487,1,111638,214,128648,111852,16612,154,8339,7934,1817477697.41779,246081.909627491,ff3d6d6c-1645-4c7e-bc93-049a674c4499,150,2412,2562,0.0585480093676815,24
