"X1","X2","X3","X4"
"Voter Registration and Turnout","Voter Registration and Turnout","Voter Registration and Turnout","Voter Registration and Turnout"
"County","Voter Reg","Turnout","%Turnout"
"Alachua","190,433","143,633","75.4%"
"Baker","16,933","14,134","83.5%"
"Bay","124,653","93,504","75.0%"
"Bradford","17,742","13,699","77.2%"
"Brevard","452,424","363,124","80.3%"
"Broward","1,266,991","964,444","76.1%"
"Calhoun","8,709","6,564","75.4%"
"Charlotte","152,142","116,990","76.9%"
"Citrus","117,092","93,727","80.0%"
"Clay","164,745","125,056","75.9%"
"Collier","231,708","209,352","90.4%"
"Columbia","44,239","33,262","75.2%"
"Desoto","17,819","12,731","71.4%"
"Dixie","10,595","8,206","77.5%"
"Duval","664,211","495,840","74.7%"
"Escambia","232,238","171,640","73.9%"
"Flagler","91,916","72,224","78.6%"
"Franklin","8,485","6,900","81.3%"
"Gadsden","31,155","23,957","76.9%"
"Gilchrist","12,516","9,750","77.9%"
"Glades","7,097","5,222","73.6%"
"Gulf","10,829","8,209","75.8%"
"Hamilton","8,098","5,870","72.5%"
"Hardee","13,111","8,558","65.3%"
"Hendry","19,122","13,009","68.0%"
"Hernando","146,893","109,862","74.8%"
"Highlands","66,317","52,472","79.1%"
"Hillsborough","934,346","717,302","76.8%"
"Holmes","11,489","9,117","79.4%"
"Indian River","124,586","98,192","78.8%"
"Jackson","29,857","22,560","75.6%"
"Jefferson","10,236","8,515","83.2%"
"Lafayette","4,568","3,689","80.8%"
"Lake","264,691","212,505","80.3%"
"Lee","489,187","396,758","81.1%"
"Leon","217,454","164,233","75.5%"
"Levy","30,099","23,309","77.4%"
"Liberty","4,601","3,577","77.7%"
"Madison","11,758","9,440","80.3%"
"Manatee","273,427","218,317","79.8%"
"Marion","264,614","205,540","77.7%"
"Martin","118,472","99,383","83.9%"
"Miami-Dade","1,564,297","1,166,203","74.6%"
"Monroe","56,910","48,320","84.9%"
"Nassau","72,223","59,112","81.8%"
"Okaloosa","150,654","117,124","77.7%"
"Okeechobee","22,394","16,037","71.6%"
"Orange","866,460","653,106","75.4%"
"Osceola","239,027","173,695","72.7%"
"Palm Beach","1,020,222","778,201","76.3%"
"Pasco","393,392","303,800","77.2%"
"Pinellas","711,462","564,284","79.3%"
"Polk","471,241","345,580","73.3%"
"Putnam","50,692","36,515","72.0%"
"Santa Rosa","145,810","107,460","73.7%"
"Sarasota","340,092","272,368","80.1%"
"Seminole","335,172","262,792","78.4%"
"St. Johns","210,059","177,664","84.6%"
"St. Lucie","223,640","173,488","77.6%"
"Sumter","105,612","92,923","88.0%"
"Suwannee","27,728","21,171","76.4%"
"Taylor","12,779","10,189","79.7%"
"Union","7,718","6,281","81.4%"
"Volusia","398,530","309,367","77.6%"
"Wakulla","22,909","18,513","80.8%"
"Walton","58,057","43,902","75.6%"
"Washington","17,191","12,384","72.0%"
"Total","14,441,869","11,144,855","77.2%"
